Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.4894626873200434


Utilization Per Link,0,<4-11>, - , - , ,2.4618303905746943
Utilization Per Link,0,<14-12>, - , - , ,0.12929718052618053
Utilization Per Link,0,<6-14>, - , - , ,0.8371824867696855
Utilization Per Link,0,<12-11>, - , - , ,1.4696174343909703
Utilization Per Link,0,<12-14>, - , - , ,0.12651000149773467
Utilization Per Link,0,<14-13>, - , - , ,1.8114186192611623
Utilization Per Link,0,<6-10>, - , - , ,1.0241785895556392
Utilization Per Link,0,<11-4>, - , - , ,2.463853494075801
Utilization Per Link,0,<1-2>, - , - , ,0.618063957164821
Utilization Per Link,0,<2-1>, - , - , ,0.6653498184006019
Utilization Per Link,0,<1-3>, - , - , ,0.30909747819992744
Utilization Per Link,0,<3-1>, - , - , ,0.3374942015030184
Utilization Per Link,0,<2-3>, - , - , ,1.243217994376194
Utilization Per Link,0,<3-2>, - , - , ,1.233339045156644
Utilization Per Link,0,<2-4>, - , - , ,2.998645491837081
Utilization Per Link,0,<4-2>, - , - , ,2.9752237751906065
Utilization Per Link,0,<13-9>, - , - , ,1.7124151027194359
Utilization Per Link,0,<12-9>, - , - , ,1.9061440409123556
Utilization Per Link,0,<14-6>, - , - , ,0.861890845758997
Utilization Per Link,0,<1-8>, - , - , ,1.216257348230019
Utilization Per Link,0,<3-6>, - , - , ,1.2618111749251546
Utilization Per Link,0,<4-5>, - , - , ,2.1990397636497594
Utilization Per Link,0,<5-4>, - , - , ,2.149227603759647
Utilization Per Link,0,<6-3>, - , - , ,1.240119308631415
Utilization Per Link,0,<8-1>, - , - , ,1.2078072475498844
Utilization Per Link,0,<10-9>, - , - , ,1.6130949050198802
Utilization Per Link,0,<5-6>, - , - , ,0.37489843528972844
Utilization Per Link,0,<6-5>, - , - , ,0.34998689487593015
Utilization Per Link,0,<10-7>, - , - , ,0.6655689131902526
Utilization Per Link,0,<5-7>, - , - , ,2.486907487186112
Utilization Per Link,0,<7-5>, - , - , ,2.398596659650807
Utilization Per Link,0,<10-6>, - , - , ,0.9650266366845206
Utilization Per Link,0,<13-11>, - , - , ,1.132115770248208
Utilization Per Link,0,<7-8>, - , - , ,2.212643428301059
Utilization Per Link,0,<8-7>, - , - , ,2.1648559840493387
Utilization Per Link,0,<8-9>, - , - , ,3.129633155339549
Utilization Per Link,0,<9-8>, - , - , ,3.089142456857544
Utilization Per Link,0,<13-14>, - , - , ,1.8999926153666695
Utilization Per Link,0,<11-13>, - , - , ,1.1757074946750639
Utilization Per Link,0,<11-12>, - , - , ,1.4786075753858372
Utilization Per Link,0,<9-10>, - , - , ,1.59237682223666
Utilization Per Link,0,<7-10>, - , - , ,0.6872842855004943
Utilization Per Link,0,<9-13>, - , - , ,1.7017828949006002
Utilization Per Link,0,<9-12>, - , - , ,1.9591034327105488


Utilization Per Slot,0,all, - ,1, ,-4.035550248789336
Utilization Per Slot,0,all, - ,2, ,-3.5586285043441688
Utilization Per Slot,0,all, - ,3, ,-3.2426490277624387
Utilization Per Slot,0,all, - ,4, ,-3.1757007553695074
Utilization Per Slot,0,all, - ,5, ,-3.391068810788486
Utilization Per Slot,0,all, - ,6, ,-3.2554797572167065
Utilization Per Slot,0,all, - ,7, ,-3.365422291342978
Utilization Per Slot,0,all, - ,8, ,-3.340815671988393
Utilization Per Slot,0,all, - ,9, ,-3.375463690675203
Utilization Per Slot,0,all, - ,10, ,-3.384970673266758
Utilization Per Slot,0,all, - ,11, ,-3.392303491220134
Utilization Per Slot,0,all, - ,12, ,-3.350604991520436
Utilization Per Slot,0,all, - ,13, ,-3.451452418377582
Utilization Per Slot,0,all, - ,14, ,-3.2953138497521186
Utilization Per Slot,0,all, - ,15, ,-3.319347474512141
Utilization Per Slot,0,all, - ,16, ,-3.41929947912333
Utilization Per Slot,0,all, - ,17, ,-3.2929815915558374
Utilization Per Slot,0,all, - ,18, ,-3.258515304817996
Utilization Per Slot,0,all, - ,19, ,-3.3988946310217383
Utilization Per Slot,0,all, - ,20, ,-3.330577979458427
Utilization Per Slot,0,all, - ,21, ,-3.268281175066301
Utilization Per Slot,0,all, - ,22, ,-3.463828534298738
Utilization Per Slot,0,all, - ,23, ,-3.3809805128887858
Utilization Per Slot,0,all, - ,24, ,-3.231611222978483
Utilization Per Slot,0,all, - ,25, ,-3.4882556909898774
Utilization Per Slot,0,all, - ,26, ,-3.2788511288182622
Utilization Per Slot,0,all, - ,27, ,-3.2204338571348607
Utilization Per Slot,0,all, - ,28, ,-3.3784400477457677
Utilization Per Slot,0,all, - ,29, ,-3.355103471855564
Utilization Per Slot,0,all, - ,30, ,-3.362875207450518
Utilization Per Slot,0,all, - ,31, ,-3.38934925968342
Utilization Per Slot,0,all, - ,32, ,-3.240073010479561
Utilization Per Slot,0,all, - ,33, ,-3.401414672595049
Utilization Per Slot,0,all, - ,34, ,-3.4506256420186956
Utilization Per Slot,0,all, - ,35, ,-3.290372669632875
Utilization Per Slot,0,all, - ,36, ,-3.341728870304281
Utilization Per Slot,0,all, - ,37, ,-3.3102716561699603
Utilization Per Slot,0,all, - ,38, ,-3.343490970512904
Utilization Per Slot,0,all, - ,39, ,-3.3488701227380897
Utilization Per Slot,0,all, - ,40, ,-3.261397297432228
Utilization Per Slot,0,all, - ,41, ,-3.412858490380499
Utilization Per Slot,0,all, - ,42, ,-3.2632280435279224
Utilization Per Slot,0,all, - ,43, ,-3.4190523161084476
Utilization Per Slot,0,all, - ,44, ,-3.2850833432929756
Utilization Per Slot,0,all, - ,45, ,-3.1942447893422248
Utilization Per Slot,0,all, - ,46, ,-3.3873814109207094
Utilization Per Slot,0,all, - ,47, ,-3.1782389512270024
Utilization Per Slot,0,all, - ,48, ,-3.3112661705504225
Utilization Per Slot,0,all, - ,49, ,-3.3909806868673424
Utilization Per Slot,0,all, - ,50, ,-3.2143608708610127
Utilization Per Slot,0,all, - ,51, ,-3.227487552968906
Utilization Per Slot,0,all, - ,52, ,-3.2756501124809194
Utilization Per Slot,0,all, - ,53, ,-3.4593644714607086
Utilization Per Slot,0,all, - ,54, ,-3.3354259297641002
