Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair and bandwidth,2,200.0Gbps,12,11, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,3, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,4, ,0.0,0.00186219739292365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,11, ,0.015957446808510637,0.023255813953488372,0.007561436672967864,0.014373716632443531,0.003683241252302026,0.003669724770642202,0.014184397163120567,0.014760147601476014,0.011884550084889643,0.012048192771084338
Blocking probability per pair and bandwidth,2,200.0Gbps,12,7, ,0.6410748560460653,0.6611418047882136,0.6038095238095238,0.5828571428571429,0.5819112627986348,0.6120218579234973,0.6779359430604982,0.5904761904761905,0.611328125,0.608540925266904
Blocking probability per pair and bandwidth,2,200.0Gbps,9,1, ,0.012867647058823529,0.014492753623188406,0.01773049645390071,0.019434628975265017,0.02564102564102564,0.001736111111111111,0.0035778175313059034,0.008032128514056224,0.007168458781362007,0.010416666666666666
Blocking probability per pair and bandwidth,2,200.0Gbps,1,9, ,0.0038314176245210726,0.007259528130671506,0.01098901098901099,0.014732965009208104,0.029304029304029304,0.012195121951219513,0.01303538175046555,0.001763668430335097,0.0057251908396946565,0.0035587188612099642
Blocking probability per pair and bandwidth,2,200.0Gbps,9,3, ,0.007285974499089253,0.0018281535648994515,0.017699115044247787,0.0,0.010830324909747292,0.05181347150259067,0.043029259896729774,0.041884816753926704,0.03924914675767918,0.06802721088435375
Blocking probability per pair and bandwidth,2,200.0Gbps,6,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,14,4, ,0.013961605584642234,0.03296703296703297,0.038461538461538464,0.02394106813996317,0.0038022813688212928,0.01867572156196944,0.029143897996357013,0.019230769230769232,0.0299625468164794,0.013157894736842105
