Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.8415936286610015


Utilization Per Link,0,<4-11>, - , - , ,2.799811713408265
Utilization Per Link,0,<14-12>, - , - , ,0.232662149440103
Utilization Per Link,0,<6-14>, - , - , ,1.3623877403132874
Utilization Per Link,0,<12-11>, - , - , ,1.7096069517392027
Utilization Per Link,0,<12-14>, - , - , ,0.23760714993558066
Utilization Per Link,0,<14-13>, - , - , ,2.531081068526544
Utilization Per Link,0,<6-10>, - , - , ,1.4437633163214514
Utilization Per Link,0,<11-4>, - , - , ,2.8584944195319344
Utilization Per Link,0,<1-2>, - , - , ,0.8413857335744583
Utilization Per Link,0,<2-1>, - , - , ,0.9520872559706068
Utilization Per Link,0,<1-3>, - , - , ,0.5232897817362064
Utilization Per Link,0,<3-1>, - , - , ,0.46701624591235424
Utilization Per Link,0,<2-3>, - , - , ,1.3778151632644544
Utilization Per Link,0,<3-2>, - , - , ,1.4694317646914141
Utilization Per Link,0,<2-4>, - , - , ,3.135389363046541
Utilization Per Link,0,<4-2>, - , - , ,3.082156129223898
Utilization Per Link,0,<13-9>, - , - , ,2.0118258225150227
Utilization Per Link,0,<12-9>, - , - , ,2.385985655534823
Utilization Per Link,0,<14-6>, - , - , ,1.3948153057184662
Utilization Per Link,0,<1-8>, - , - , ,1.4540554392529108
Utilization Per Link,0,<3-6>, - , - , ,2.039660805420688
Utilization Per Link,0,<4-5>, - , - , ,2.7134823109695603
Utilization Per Link,0,<5-4>, - , - , ,2.72882085521756
Utilization Per Link,0,<6-3>, - , - , ,1.934955189030026
Utilization Per Link,0,<8-1>, - , - , ,1.512432024824087
Utilization Per Link,0,<10-9>, - , - , ,2.2011673459022183
Utilization Per Link,0,<5-6>, - , - , ,0.6547307006243382
Utilization Per Link,0,<6-5>, - , - , ,0.6255157751955622
Utilization Per Link,0,<10-7>, - , - , ,1.070556529333007
Utilization Per Link,0,<5-7>, - , - , ,2.770935579972442
Utilization Per Link,0,<7-5>, - , - , ,2.8237657628087365
Utilization Per Link,0,<10-6>, - , - , ,1.444451894014476
Utilization Per Link,0,<13-11>, - , - , ,1.5747953002674417
Utilization Per Link,0,<7-8>, - , - , ,2.3471950562383
Utilization Per Link,0,<8-7>, - , - , ,2.3192746011299623
Utilization Per Link,0,<8-9>, - , - , ,3.242929652660894
Utilization Per Link,0,<9-8>, - , - , ,3.147764870925009
Utilization Per Link,0,<13-14>, - , - , ,2.5166760603509117
Utilization Per Link,0,<11-13>, - , - , ,1.6375266326429694
Utilization Per Link,0,<11-12>, - , - , ,1.7258290184320935
Utilization Per Link,0,<9-10>, - , - , ,2.286493688683249
Utilization Per Link,0,<7-10>, - , - , ,0.917422548558575
Utilization Per Link,0,<9-13>, - , - , ,2.10495181349727
Utilization Per Link,0,<9-12>, - , - , ,2.418117474730021


Utilization Per Slot,0,all, - ,1, ,-3.6418906135980755
Utilization Per Slot,0,all, - ,2, ,-2.8058069296673005
Utilization Per Slot,0,all, - ,3, ,-2.6571145755443646
Utilization Per Slot,0,all, - ,4, ,-2.7407726056522015
Utilization Per Slot,0,all, - ,5, ,-2.7645482923577265
Utilization Per Slot,0,all, - ,6, ,-3.0126001117107055
Utilization Per Slot,0,all, - ,7, ,-2.869984279420906
Utilization Per Slot,0,all, - ,8, ,-2.766632733038441
Utilization Per Slot,0,all, - ,9, ,-3.100324546625706
Utilization Per Slot,0,all, - ,10, ,-2.835982333492491
Utilization Per Slot,0,all, - ,11, ,-2.8653052675201125
Utilization Per Slot,0,all, - ,12, ,-2.8279159647210386
Utilization Per Slot,0,all, - ,13, ,-2.9445860848100467
Utilization Per Slot,0,all, - ,14, ,-2.7990344681579447
Utilization Per Slot,0,all, - ,15, ,-2.8256975162385927
Utilization Per Slot,0,all, - ,16, ,-2.854155593192854
Utilization Per Slot,0,all, - ,17, ,-2.7048517580922695
Utilization Per Slot,0,all, - ,18, ,-2.8014702570247114
Utilization Per Slot,0,all, - ,19, ,-2.7960457563445376
Utilization Per Slot,0,all, - ,20, ,-2.6778857848127493
Utilization Per Slot,0,all, - ,21, ,-2.834477842541959
Utilization Per Slot,0,all, - ,22, ,-3.032140476211926
Utilization Per Slot,0,all, - ,23, ,-2.8548290105494547
Utilization Per Slot,0,all, - ,24, ,-2.870364906622463
Utilization Per Slot,0,all, - ,25, ,-2.7233099251358097
Utilization Per Slot,0,all, - ,26, ,-2.802591868541725
Utilization Per Slot,0,all, - ,27, ,-2.9475635354636447
Utilization Per Slot,0,all, - ,28, ,-2.9532324033116817
Utilization Per Slot,0,all, - ,29, ,-2.8244599147755425
Utilization Per Slot,0,all, - ,30, ,-3.008377176782191
Utilization Per Slot,0,all, - ,31, ,-3.1040441077107417
Utilization Per Slot,0,all, - ,32, ,-2.8446917144890587
Utilization Per Slot,0,all, - ,33, ,-3.076669354330141
Utilization Per Slot,0,all, - ,34, ,-3.1226092557724705
Utilization Per Slot,0,all, - ,35, ,-2.8914503022495293
Utilization Per Slot,0,all, - ,36, ,-2.756925613282763
Utilization Per Slot,0,all, - ,37, ,-3.0348330195223463
Utilization Per Slot,0,all, - ,38, ,-2.8149532436644713
Utilization Per Slot,0,all, - ,39, ,-2.7423424113296275
