Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability per pair,0,all,7,2, ,0.7
Blocking probability per pair,0,all,4,11, ,0.008547008547008548
Blocking probability per pair,0,all,13,10, ,0.0
Blocking probability per pair,0,all,10,14, ,0.3113207547169811
Blocking probability per pair,0,all,12,6, ,0.07017543859649122
Blocking probability per pair,0,all,14,8, ,0.49624060150375937
Blocking probability per pair,0,all,2,7, ,0.7478991596638656
Blocking probability per pair,0,all,9,7, ,0.2231404958677686
Blocking probability per pair,0,all,4,10, ,0.04854368932038835
Blocking probability per pair,0,all,1,4, ,0.11764705882352941
Blocking probability per pair,0,all,2,12, ,0.65
Blocking probability per pair,0,all,5,9, ,0.6410256410256411
Blocking probability per pair,0,all,11,7, ,0.6111111111111112
Blocking probability per pair,0,all,6,7, ,0.02912621359223301
Blocking probability per pair,0,all,2,4, ,0.088
Blocking probability per pair,0,all,2,6, ,0.06306306306306306
Blocking probability per pair,0,all,6,2, ,0.05454545454545454
Blocking probability per pair,0,all,14,12, ,0.0
Blocking probability per pair,0,all,11,1, ,0.36036036036036034
Blocking probability per pair,0,all,3,5, ,0.38144329896907214
Blocking probability per pair,0,all,3,2, ,0.0
Blocking probability per pair,0,all,7,13, ,0.5416666666666666
Blocking probability per pair,0,all,2,11, ,0.5317460317460317
Blocking probability per pair,0,all,11,12, ,0.0
Blocking probability per pair,0,all,13,8, ,0.308411214953271
Blocking probability per pair,0,all,6,3, ,0.010309278350515464
Blocking probability per pair,0,all,12,7, ,0.7184466019417476
Blocking probability per pair,0,all,13,7, ,0.6764705882352942
Blocking probability per pair,0,all,10,9, ,0.0
Blocking probability per pair,0,all,6,12, ,0.03636363636363636
Blocking probability per pair,0,all,14,11, ,0.0
Blocking probability per pair,0,all,10,5, ,0.0
Blocking probability per pair,0,all,3,13, ,0.13333333333333333
Blocking probability per pair,0,all,14,4, ,0.17796610169491525
Blocking probability per pair,0,all,13,4, ,0.10679611650485436
Blocking probability per pair,0,all,1,2, ,0.0
Blocking probability per pair,0,all,12,10, ,0.0
Blocking probability per pair,0,all,4,13, ,0.028846153846153848
Blocking probability per pair,0,all,9,4, ,0.25663716814159293
Blocking probability per pair,0,all,1,13, ,0.391304347826087
Blocking probability per pair,0,all,9,10, ,0.019230769230769232
Blocking probability per pair,0,all,11,13, ,0.0
Blocking probability per pair,0,all,13,9, ,0.0
Blocking probability per pair,0,all,7,11, ,0.632183908045977
Blocking probability per pair,0,all,8,7, ,0.0
Blocking probability per pair,0,all,3,9, ,0.2830188679245283
Blocking probability per pair,0,all,4,8, ,0.21428571428571427
Blocking probability per pair,0,all,11,3, ,0.5212765957446809
Blocking probability per pair,0,all,3,12, ,0.7702702702702703
Blocking probability per pair,0,all,11,14, ,0.0
Blocking probability per pair,0,all,14,5, ,0.8979591836734694
Blocking probability per pair,0,all,3,6, ,0.0625
Blocking probability per pair,0,all,6,10, ,0.035398230088495575
Blocking probability per pair,0,all,6,1, ,0.0707070707070707
Blocking probability per pair,0,all,11,5, ,0.2421875
Blocking probability per pair,0,all,10,4, ,0.11504424778761062
Blocking probability per pair,0,all,5,11, ,0.23529411764705882
Blocking probability per pair,0,all,13,14, ,0.0
Blocking probability per pair,0,all,10,11, ,0.06315789473684211
Blocking probability per pair,0,all,14,10, ,0.31666666666666665
Blocking probability per pair,0,all,5,14, ,0.8545454545454545
Blocking probability per pair,0,all,8,12, ,0.5342465753424658
Blocking probability per pair,0,all,8,10, ,0.4528301886792453
Blocking probability per pair,0,all,3,4, ,0.06140350877192982
Blocking probability per pair,0,all,3,14, ,0.0
Blocking probability per pair,0,all,6,8, ,0.6272727272727273
Blocking probability per pair,0,all,6,14, ,0.03636363636363636
Blocking probability per pair,0,all,12,8, ,0.5384615384615384
Blocking probability per pair,0,all,10,6, ,0.08333333333333333
Blocking probability per pair,0,all,14,7, ,0.6842105263157895
Blocking probability per pair,0,all,2,1, ,0.0
Blocking probability per pair,0,all,14,9, ,0.0
Blocking probability per pair,0,all,3,8, ,0.9130434782608695
Blocking probability per pair,0,all,12,2, ,0.47058823529411764
Blocking probability per pair,0,all,13,3, ,0.12195121951219512
Blocking probability per pair,0,all,1,5, ,0.053763440860215055
Blocking probability per pair,0,all,2,5, ,0.030303030303030304
Blocking probability per pair,0,all,2,14, ,0.8360655737704918
Blocking probability per pair,0,all,14,6, ,0.058333333333333334
Blocking probability per pair,0,all,10,3, ,0.0
Blocking probability per pair,0,all,10,12, ,0.0
Blocking probability per pair,0,all,4,14, ,0.2719298245614035
Blocking probability per pair,0,all,7,4, ,0.10619469026548672


Blocking probability per bandwidth,0,100.0Gbps,all,all, ,0.2616688137944703


Blocking probability per pair and bandwidth,0,100.0Gbps,5,1, ,0.09022556390977443
Blocking probability per pair and bandwidth,0,100.0Gbps,9,14, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,9,5, ,0.6126126126126126
Blocking probability per pair and bandwidth,0,100.0Gbps,13,2, ,0.5585585585585585
Blocking probability per pair and bandwidth,0,100.0Gbps,14,3, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,2,8, ,0.8421052631578947
Blocking probability per pair and bandwidth,0,100.0Gbps,7,9, ,0.23076923076923078
Blocking probability per pair and bandwidth,0,100.0Gbps,3,1, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,4,2, ,0.05319148936170213
Blocking probability per pair and bandwidth,0,100.0Gbps,7,3, ,0.671875
Blocking probability per pair and bandwidth,0,100.0Gbps,11,8, ,0.4166666666666667
Blocking probability per pair and bandwidth,0,100.0Gbps,7,1, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,3,10, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,14,13, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,4,12, ,0.029411764705882353
Blocking probability per pair and bandwidth,0,100.0Gbps,8,11, ,0.4260869565217391
Blocking probability per pair and bandwidth,0,100.0Gbps,8,6, ,0.5254237288135594
Blocking probability per pair and bandwidth,0,100.0Gbps,1,10, ,0.6306306306306306
Blocking probability per pair and bandwidth,0,100.0Gbps,9,11, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,5,7, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,12,3, ,0.7843137254901961
Blocking probability per pair and bandwidth,0,100.0Gbps,4,5, ,0.028846153846153848
Blocking probability per pair and bandwidth,0,100.0Gbps,13,6, ,0.08421052631578947
Blocking probability per pair and bandwidth,0,100.0Gbps,5,3, ,0.29508196721311475
Blocking probability per pair and bandwidth,0,100.0Gbps,7,14, ,0.6458333333333334
Blocking probability per pair and bandwidth,0,100.0Gbps,1,8, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,1,12, ,0.4953271028037383
Blocking probability per pair and bandwidth,0,100.0Gbps,9,8, ,0.044642857142857144
Blocking probability per pair and bandwidth,0,100.0Gbps,7,5, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,8,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,11,4, ,0.057692307692307696
Blocking probability per pair and bandwidth,0,100.0Gbps,13,5, ,0.7793103448275862
Blocking probability per pair and bandwidth,0,100.0Gbps,10,13, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,3,7, ,0.6636363636363637
Blocking probability per pair and bandwidth,0,100.0Gbps,10,7, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,8,5, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,10,1, ,0.7433628318584071
Blocking probability per pair and bandwidth,0,100.0Gbps,11,6, ,0.05737704918032787
Blocking probability per pair and bandwidth,0,100.0Gbps,5,6, ,0.13636363636363635
Blocking probability per pair and bandwidth,0,100.0Gbps,9,2, ,0.8921568627450981
Blocking probability per pair and bandwidth,0,100.0Gbps,12,13, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,6,11, ,0.010309278350515464
Blocking probability per pair and bandwidth,0,100.0Gbps,3,11, ,0.5462962962962963
Blocking probability per pair and bandwidth,0,100.0Gbps,5,4, ,0.07
Blocking probability per pair and bandwidth,0,100.0Gbps,4,3, ,0.0425531914893617
Blocking probability per pair and bandwidth,0,100.0Gbps,4,9, ,0.3050847457627119
Blocking probability per pair and bandwidth,0,100.0Gbps,11,2, ,0.28440366972477066
Blocking probability per pair and bandwidth,0,100.0Gbps,4,6, ,0.08256880733944955
Blocking probability per pair and bandwidth,0,100.0Gbps,5,8, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,12,4, ,0.08571428571428572
Blocking probability per pair and bandwidth,0,100.0Gbps,2,3, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,13,1, ,0.3669724770642202
Blocking probability per pair and bandwidth,0,100.0Gbps,1,11, ,0.5080645161290323
Blocking probability per pair and bandwidth,0,100.0Gbps,8,14, ,0.43103448275862066
Blocking probability per pair and bandwidth,0,100.0Gbps,12,14, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,8,4, ,0.17708333333333334
Blocking probability per pair and bandwidth,0,100.0Gbps,4,7, ,0.009345794392523364
Blocking probability per pair and bandwidth,0,100.0Gbps,8,1, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,2,13, ,0.6885245901639344
Blocking probability per pair and bandwidth,0,100.0Gbps,7,8, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,6,9, ,0.06956521739130435
Blocking probability per pair and bandwidth,0,100.0Gbps,5,2, ,0.12280701754385964
Blocking probability per pair and bandwidth,0,100.0Gbps,8,3, ,0.8952380952380953
Blocking probability per pair and bandwidth,0,100.0Gbps,14,1, ,0.7363636363636363
Blocking probability per pair and bandwidth,0,100.0Gbps,12,1, ,0.4634146341463415
Blocking probability per pair and bandwidth,0,100.0Gbps,5,12, ,0.8035714285714286
Blocking probability per pair and bandwidth,0,100.0Gbps,6,13, ,0.07692307692307693
Blocking probability per pair and bandwidth,0,100.0Gbps,12,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,1,14, ,0.6888888888888889
Blocking probability per pair and bandwidth,0,100.0Gbps,10,2, ,0.6637168141592921
Blocking probability per pair and bandwidth,0,100.0Gbps,10,8, ,0.5229357798165137
Blocking probability per pair and bandwidth,0,100.0Gbps,12,5, ,0.8301886792452831
Blocking probability per pair and bandwidth,0,100.0Gbps,8,13, ,0.36
Blocking probability per pair and bandwidth,0,100.0Gbps,1,7, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,9,1, ,0.034782608695652174
Blocking probability per pair and bandwidth,0,100.0Gbps,6,4, ,0.09090909090909091
Blocking probability per pair and bandwidth,0,100.0Gbps,14,2, ,0.8407079646017699
Blocking probability per pair and bandwidth,0,100.0Gbps,7,12, ,0.7156862745098039
Blocking probability per pair and bandwidth,0,100.0Gbps,11,10, ,0.07964601769911504
Blocking probability per pair and bandwidth,0,100.0Gbps,1,9, ,0.07368421052631578
Blocking probability per pair and bandwidth,0,100.0Gbps,6,5, ,0.03968253968253968
Blocking probability per pair and bandwidth,0,100.0Gbps,7,10, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,12,11, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,9,3, ,0.30833333333333335
Blocking probability per pair and bandwidth,0,100.0Gbps,4,1, ,0.026785714285714284
Blocking probability per pair and bandwidth,0,100.0Gbps,7,6, ,0.05660377358490566
Blocking probability per pair and bandwidth,0,100.0Gbps,11,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,9,12, ,0.009259259259259259
Blocking probability per pair and bandwidth,0,100.0Gbps,5,13, ,0.7722772277227723
Blocking probability per pair and bandwidth,0,100.0Gbps,9,13, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,13,12, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,1,6, ,0.08653846153846154
Blocking probability per pair and bandwidth,0,100.0Gbps,2,9, ,0.7913043478260869
Blocking probability per pair and bandwidth,0,100.0Gbps,2,10, ,0.5959595959595959
Blocking probability per pair and bandwidth,0,100.0Gbps,1,3, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,9,6, ,0.06140350877192982
Blocking probability per pair and bandwidth,0,100.0Gbps,8,2, ,0.8148148148148148
Blocking probability per pair and bandwidth,0,100.0Gbps,13,11, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,5,10, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,7,2, ,0.7
Blocking probability per pair and bandwidth,0,100.0Gbps,4,11, ,0.008547008547008548
Blocking probability per pair and bandwidth,0,100.0Gbps,13,10, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,10,14, ,0.3113207547169811
Blocking probability per pair and bandwidth,0,100.0Gbps,12,6, ,0.07017543859649122
Blocking probability per pair and bandwidth,0,100.0Gbps,14,8, ,0.49624060150375937
Blocking probability per pair and bandwidth,0,100.0Gbps,2,7, ,0.7478991596638656
Blocking probability per pair and bandwidth,0,100.0Gbps,9,7, ,0.2231404958677686
Blocking probability per pair and bandwidth,0,100.0Gbps,4,10, ,0.04854368932038835
Blocking probability per pair and bandwidth,0,100.0Gbps,1,4, ,0.11764705882352941
Blocking probability per pair and bandwidth,0,100.0Gbps,2,12, ,0.65
Blocking probability per pair and bandwidth,0,100.0Gbps,5,9, ,0.6410256410256411
Blocking probability per pair and bandwidth,0,100.0Gbps,11,7, ,0.6111111111111112
Blocking probability per pair and bandwidth,0,100.0Gbps,6,7, ,0.02912621359223301
Blocking probability per pair and bandwidth,0,100.0Gbps,2,4, ,0.088
Blocking probability per pair and bandwidth,0,100.0Gbps,2,6, ,0.06306306306306306
Blocking probability per pair and bandwidth,0,100.0Gbps,6,2, ,0.05454545454545454
Blocking probability per pair and bandwidth,0,100.0Gbps,14,12, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,11,1, ,0.36036036036036034
Blocking probability per pair and bandwidth,0,100.0Gbps,3,5, ,0.38144329896907214
Blocking probability per pair and bandwidth,0,100.0Gbps,3,2, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,7,13, ,0.5416666666666666
Blocking probability per pair and bandwidth,0,100.0Gbps,2,11, ,0.5317460317460317
Blocking probability per pair and bandwidth,0,100.0Gbps,11,12, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,13,8, ,0.308411214953271
Blocking probability per pair and bandwidth,0,100.0Gbps,6,3, ,0.010309278350515464
Blocking probability per pair and bandwidth,0,100.0Gbps,12,7, ,0.7184466019417476
Blocking probability per pair and bandwidth,0,100.0Gbps,13,7, ,0.6764705882352942
Blocking probability per pair and bandwidth,0,100.0Gbps,10,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,6,12, ,0.03636363636363636
Blocking probability per pair and bandwidth,0,100.0Gbps,14,11, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,10,5, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,3,13, ,0.13333333333333333
Blocking probability per pair and bandwidth,0,100.0Gbps,14,4, ,0.17796610169491525
Blocking probability per pair and bandwidth,0,100.0Gbps,13,4, ,0.10679611650485436
Blocking probability per pair and bandwidth,0,100.0Gbps,1,2, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,12,10, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,4,13, ,0.028846153846153848
Blocking probability per pair and bandwidth,0,100.0Gbps,9,4, ,0.25663716814159293
Blocking probability per pair and bandwidth,0,100.0Gbps,1,13, ,0.391304347826087
Blocking probability per pair and bandwidth,0,100.0Gbps,9,10, ,0.019230769230769232
Blocking probability per pair and bandwidth,0,100.0Gbps,11,13, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,13,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,7,11, ,0.632183908045977
Blocking probability per pair and bandwidth,0,100.0Gbps,8,7, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,3,9, ,0.2830188679245283
Blocking probability per pair and bandwidth,0,100.0Gbps,4,8, ,0.21428571428571427
Blocking probability per pair and bandwidth,0,100.0Gbps,11,3, ,0.5212765957446809
Blocking probability per pair and bandwidth,0,100.0Gbps,3,12, ,0.7702702702702703
Blocking probability per pair and bandwidth,0,100.0Gbps,11,14, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,14,5, ,0.8979591836734694
Blocking probability per pair and bandwidth,0,100.0Gbps,3,6, ,0.0625
Blocking probability per pair and bandwidth,0,100.0Gbps,6,10, ,0.035398230088495575
Blocking probability per pair and bandwidth,0,100.0Gbps,6,1, ,0.0707070707070707
Blocking probability per pair and bandwidth,0,100.0Gbps,11,5, ,0.2421875
Blocking probability per pair and bandwidth,0,100.0Gbps,10,4, ,0.11504424778761062
Blocking probability per pair and bandwidth,0,100.0Gbps,5,11, ,0.23529411764705882
Blocking probability per pair and bandwidth,0,100.0Gbps,13,14, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,10,11, ,0.06315789473684211
Blocking probability per pair and bandwidth,0,100.0Gbps,14,10, ,0.31666666666666665
Blocking probability per pair and bandwidth,0,100.0Gbps,5,14, ,0.8545454545454545
Blocking probability per pair and bandwidth,0,100.0Gbps,8,12, ,0.5342465753424658
Blocking probability per pair and bandwidth,0,100.0Gbps,8,10, ,0.4528301886792453
Blocking probability per pair and bandwidth,0,100.0Gbps,3,4, ,0.06140350877192982
Blocking probability per pair and bandwidth,0,100.0Gbps,3,14, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,6,8, ,0.6272727272727273
Blocking probability per pair and bandwidth,0,100.0Gbps,6,14, ,0.03636363636363636
Blocking probability per pair and bandwidth,0,100.0Gbps,12,8, ,0.5384615384615384
Blocking probability per pair and bandwidth,0,100.0Gbps,10,6, ,0.08333333333333333
Blocking probability per pair and bandwidth,0,100.0Gbps,14,7, ,0.6842105263157895
Blocking probability per pair and bandwidth,0,100.0Gbps,2,1, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,14,9, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,3,8, ,0.9130434782608695
Blocking probability per pair and bandwidth,0,100.0Gbps,12,2, ,0.47058823529411764
Blocking probability per pair and bandwidth,0,100.0Gbps,13,3, ,0.12195121951219512
Blocking probability per pair and bandwidth,0,100.0Gbps,1,5, ,0.053763440860215055
Blocking probability per pair and bandwidth,0,100.0Gbps,2,5, ,0.030303030303030304
Blocking probability per pair and bandwidth,0,100.0Gbps,2,14, ,0.8360655737704918
Blocking probability per pair and bandwidth,0,100.0Gbps,14,6, ,0.058333333333333334
Blocking probability per pair and bandwidth,0,100.0Gbps,10,3, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,10,12, ,0.0
Blocking probability per pair and bandwidth,0,100.0Gbps,4,14, ,0.2719298245614035
Blocking probability per pair and bandwidth,0,100.0Gbps,7,4, ,0.10619469026548672


