Metrics,LoadPoint,Link,Number of slots,Slot, ,rep0
Utilization,0,all, - , - , ,1.4250595769392815


Utilization Per Link,0,<4-11>, - , - , ,2.2955388692594414
Utilization Per Link,0,<14-12>, - , - , ,0.09464406031024436
Utilization Per Link,0,<6-14>, - , - , ,0.8107515571647271
Utilization Per Link,0,<12-11>, - , - , ,1.411286271484118
Utilization Per Link,0,<12-14>, - , - , ,0.09327265002695251
Utilization Per Link,0,<14-13>, - , - , ,1.829903981004988
Utilization Per Link,0,<6-10>, - , - , ,0.8933386860909397
Utilization Per Link,0,<11-4>, - , - , ,2.3543431579550576
Utilization Per Link,0,<1-2>, - , - , ,0.5668220401364639
Utilization Per Link,0,<2-1>, - , - , ,0.5767036805501827
Utilization Per Link,0,<1-3>, - , - , ,0.28952749745467726
Utilization Per Link,0,<3-1>, - , - , ,0.32027572318376196
Utilization Per Link,0,<2-3>, - , - , ,1.2207015731369204
Utilization Per Link,0,<3-2>, - , - , ,1.1852609188765124
Utilization Per Link,0,<2-4>, - , - , ,2.8777546116058983
Utilization Per Link,0,<4-2>, - , - , ,2.939900693239264
Utilization Per Link,0,<13-9>, - , - , ,1.6844298065019474
Utilization Per Link,0,<12-9>, - , - , ,1.8482098206264577
Utilization Per Link,0,<14-6>, - , - , ,0.8176316291831707
Utilization Per Link,0,<1-8>, - , - , ,1.1905206586512833
Utilization Per Link,0,<3-6>, - , - , ,1.191389046933863
Utilization Per Link,0,<4-5>, - , - , ,2.0293775016967452
Utilization Per Link,0,<5-4>, - , - , ,2.0819535944582515
Utilization Per Link,0,<6-3>, - , - , ,1.172613437293429
Utilization Per Link,0,<8-1>, - , - , ,1.1406386938273922
Utilization Per Link,0,<10-9>, - , - , ,1.527005755774379
Utilization Per Link,0,<5-6>, - , - , ,0.3974663612226748
Utilization Per Link,0,<6-5>, - , - , ,0.40058293905102915
Utilization Per Link,0,<10-7>, - , - , ,0.6370031230660518
Utilization Per Link,0,<5-7>, - , - , ,2.2952687670959397
Utilization Per Link,0,<7-5>, - , - , ,2.3746575919333686
Utilization Per Link,0,<10-6>, - , - , ,0.8964482454426878
Utilization Per Link,0,<13-11>, - , - , ,1.0693959493716678
Utilization Per Link,0,<7-8>, - , - , ,2.109526911022001
Utilization Per Link,0,<8-7>, - , - , ,2.139228978259099
Utilization Per Link,0,<8-9>, - , - , ,2.976395741002678
Utilization Per Link,0,<9-8>, - , - , ,2.9787201979880207
Utilization Per Link,0,<13-14>, - , - , ,1.8041538462506244
Utilization Per Link,0,<11-13>, - , - , ,1.0728767393344514
Utilization Per Link,0,<11-12>, - , - , ,1.3930744482532638
Utilization Per Link,0,<9-10>, - , - , ,1.5742173619013309
Utilization Per Link,0,<7-10>, - , - , ,0.6400372571919323
Utilization Per Link,0,<9-13>, - , - , ,1.6541591179053143
Utilization Per Link,0,<9-12>, - , - , ,1.845611892605968


Utilization Per Slot,0,all, - ,1, ,-4.168672334532968
Utilization Per Slot,0,all, - ,2, ,-4.138721163845438
Utilization Per Slot,0,all, - ,3, ,-4.0835846940386675
Utilization Per Slot,0,all, - ,4, ,-3.9060707240095756
Utilization Per Slot,0,all, - ,5, ,-3.346118700329037
Utilization Per Slot,0,all, - ,6, ,-3.4420216569479907
Utilization Per Slot,0,all, - ,7, ,-4.00881237057646
Utilization Per Slot,0,all, - ,8, ,-3.957807925938428
Utilization Per Slot,0,all, - ,9, ,-3.790658955246905
Utilization Per Slot,0,all, - ,10, ,-3.5759436008283103
Utilization Per Slot,0,all, - ,11, ,-3.6998517244070337
Utilization Per Slot,0,all, - ,12, ,-3.911240632957109
Utilization Per Slot,0,all, - ,13, ,-3.9886465723292694
Utilization Per Slot,0,all, - ,14, ,-3.7539582505294913
Utilization Per Slot,0,all, - ,15, ,-3.5820443157090462
Utilization Per Slot,0,all, - ,16, ,-3.734885009283105
Utilization Per Slot,0,all, - ,17, ,-3.895722512300341
Utilization Per Slot,0,all, - ,18, ,-3.7697100368238896
Utilization Per Slot,0,all, - ,19, ,-3.7002269505862966
Utilization Per Slot,0,all, - ,20, ,-3.7306415959317683
Utilization Per Slot,0,all, - ,21, ,-3.9148252453262335
Utilization Per Slot,0,all, - ,22, ,-3.9224236888862274
