Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability,0,all,all,all, ,0.03029358210072086


Blocking probability by lack of transmitters,0,all,all,all, ,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0


Blocking probability by QoTO,0,all,all,all, ,0.0


Blocking probability by other,0,all,all,all, ,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.03029358210072086


Blocking probability by crosstalk in other,0,all,all,all, ,0.0


Block all cores,0,all,all,all, ,2429


Block core 0 ,0,all,all,all, ,537


Block core 1 ,0,all,all,all, ,446


Block core 2 ,0,all,all,all, ,234


Block core 3,0,all,all,all, ,293


Block core 4,0,all,all,all, ,251


Block core 5,0,all,all,all, ,500


Block core 6,0,all,all,all, ,168


Blocking probability per pair,0,all,5,3, ,0.0022222222222222222
Blocking probability per pair,0,all,10,2, ,0.04090909090909091
Blocking probability per pair,0,all,9,7, ,0.010940919037199124
Blocking probability per pair,0,all,13,4, ,0.0
Blocking probability per pair,0,all,14,5, ,0.5023474178403756
Blocking probability per pair,0,all,2,10, ,0.03044496487119438
Blocking probability per pair,0,all,7,11, ,0.11666666666666667
Blocking probability per pair,0,all,3,4, ,0.0
Blocking probability per pair,0,all,4,5, ,0.0
Blocking probability per pair,0,all,7,5, ,0.0
Blocking probability per pair,0,all,11,10, ,0.0
Blocking probability per pair,0,all,7,3, ,0.03940886699507389
Blocking probability per pair,0,all,3,12, ,0.07623318385650224
Blocking probability per pair,0,all,4,14, ,0.0
Blocking probability per pair,0,all,8,13, ,0.015730337078651686
Blocking probability per pair,0,all,8,9, ,0.0
Blocking probability per pair,0,all,1,12, ,0.042643923240938165
Blocking probability per pair,0,all,9,13, ,0.0
Blocking probability per pair,0,all,5,9, ,0.060674157303370786
Blocking probability per pair,0,all,12,5, ,0.33080808080808083
Blocking probability per pair,0,all,4,7, ,0.0
Blocking probability per pair,0,all,13,8, ,0.009195402298850575
Blocking probability per pair,0,all,5,6, ,0.0
Blocking probability per pair,0,all,8,2, ,0.16273584905660377
