Metrics,LoadPoint,Bandwidth,src,dest, ,rep0
Blocking probability per pair,0,all,10,1, ,0.062385321100917435
Blocking probability per pair,0,all,14,1, ,0.0839041095890411
Blocking probability per pair,0,all,1,8, ,0.0
Blocking probability per pair,0,all,2,11, ,0.0
Blocking probability per pair,0,all,2,12, ,0.03339517625231911
Blocking probability per pair,0,all,1,5, ,0.0
Blocking probability per pair,0,all,9,8, ,0.0
Blocking probability per pair,0,all,8,4, ,0.0
Blocking probability per pair,0,all,13,14, ,0.0
Blocking probability per pair,0,all,5,12, ,0.21070811744386875
Blocking probability per pair,0,all,7,4, ,0.0
Blocking probability per pair,0,all,4,13, ,0.0
Blocking probability per pair,0,all,13,12, ,0.0
Blocking probability per pair,0,all,11,2, ,0.005405405405405406
Blocking probability per pair,0,all,12,8, ,0.024344569288389514
Blocking probability per pair,0,all,14,10, ,0.0
Blocking probability per pair,0,all,2,9, ,0.13123844731977818
Blocking probability per pair,0,all,9,10, ,0.0
Blocking probability per pair,0,all,4,12, ,0.0
Blocking probability per pair,0,all,1,6, ,0.0
Blocking probability per pair,0,all,2,14, ,0.1286231884057971
Blocking probability per pair,0,all,5,11, ,0.0
Blocking probability per pair,0,all,11,9, ,0.0
Blocking probability per pair,0,all,6,9, ,0.0
Blocking probability per pair,0,all,2,6, ,0.0
Blocking probability per pair,0,all,2,8, ,0.17669172932330826
Blocking probability per pair,0,all,6,4, ,0.0
Blocking probability per pair,0,all,11,3, ,0.007518796992481203
Blocking probability per pair,0,all,3,7, ,0.02862595419847328
Blocking probability per pair,0,all,3,5, ,0.017857142857142856
Blocking probability per pair,0,all,8,1, ,0.0
Blocking probability per pair,0,all,2,13, ,0.03461538461538462
Blocking probability per pair,0,all,11,14, ,0.0
Blocking probability per pair,0,all,13,10, ,0.0
Blocking probability per pair,0,all,6,5, ,0.0
Blocking probability per pair,0,all,12,9, ,0.0
Blocking probability per pair,0,all,1,2, ,0.0
Blocking probability per pair,0,all,13,9, ,0.0
Blocking probability per pair,0,all,10,12, ,0.0
Blocking probability per pair,0,all,6,14, ,0.0
Blocking probability per pair,0,all,14,13, ,0.0
Blocking probability per pair,0,all,10,7, ,0.0
Blocking probability per pair,0,all,4,1, ,0.0
Blocking probability per pair,0,all,14,6, ,0.0
Blocking probability per pair,0,all,13,6, ,0.0
Blocking probability per pair,0,all,1,4, ,0.0
Blocking probability per pair,0,all,12,13, ,0.0
Blocking probability per pair,0,all,5,1, ,0.0
Blocking probability per pair,0,all,9,6, ,0.0
Blocking probability per pair,0,all,2,1, ,0.0
Blocking probability per pair,0,all,9,12, ,0.0
Blocking probability per pair,0,all,12,1, ,0.046875
Blocking probability per pair,0,all,13,11, ,0.0
Blocking probability per pair,0,all,7,13, ,0.09640831758034027
Blocking probability per pair,0,all,8,10, ,0.06191369606003752
Blocking probability per pair,0,all,3,11, ,0.01727447216890595
Blocking probability per pair,0,all,4,10, ,0.0
Blocking probability per pair,0,all,11,5, ,0.0
Blocking probability per pair,0,all,3,14, ,0.0
Blocking probability per pair,0,all,12,2, ,0.03074141048824593
Blocking probability per pair,0,all,14,7, ,0.0920353982300885
Blocking probability per pair,0,all,1,3, ,0.0
Blocking probability per pair,0,all,3,8, ,0.25504587155963304
Blocking probability per pair,0,all,6,12, ,0.0
Blocking probability per pair,0,all,6,3, ,0.0
Blocking probability per pair,0,all,11,7, ,0.09430255402750491
Blocking probability per pair,0,all,10,6, ,0.0
Blocking probability per pair,0,all,5,13, ,0.1981651376146789
Blocking probability per pair,0,all,14,2, ,0.17491166077738515
Blocking probability per pair,0,all,10,13, ,0.0
Blocking probability per pair,0,all,14,12, ,0.0
Blocking probability per pair,0,all,6,2, ,0.0
Blocking probability per pair,0,all,8,14, ,0.04929577464788732
Blocking probability per pair,0,all,8,12, ,0.009363295880149813
Blocking probability per pair,0,all,3,6, ,0.0
Blocking probability per pair,0,all,4,2, ,0.0
Blocking probability per pair,0,all,6,10, ,0.0
Blocking probability per pair,0,all,7,2, ,0.12407407407407407
Blocking probability per pair,0,all,12,10, ,0.0
Blocking probability per pair,0,all,10,8, ,0.05391304347826087
Blocking probability per pair,0,all,14,9, ,0.0
Blocking probability per pair,0,all,2,4, ,0.0
Blocking probability per pair,0,all,14,11, ,0.0
Blocking probability per pair,0,all,3,10, ,0.0
Blocking probability per pair,0,all,12,4, ,0.0
Blocking probability per pair,0,all,13,5, ,0.16666666666666666
Blocking probability per pair,0,all,1,7, ,0.0
Blocking probability per pair,0,all,2,7, ,0.14492753623188406
Blocking probability per pair,0,all,3,2, ,0.0
Blocking probability per pair,0,all,14,8, ,0.07079646017699115
Blocking probability per pair,0,all,10,5, ,0.0
Blocking probability per pair,0,all,10,14, ,0.0
Blocking probability per pair,0,all,5,2, ,0.003738317757009346
Blocking probability per pair,0,all,7,6, ,0.0


Blocking probability per bandwidth,0,200.0Gbps,all,all, ,0.031243137489768622


Blocking probability per pair and bandwidth,0,200.0Gbps,5,3, ,0.022263450834879406
Blocking probability per pair and bandwidth,0,200.0Gbps,10,2, ,0.06679035250463822
Blocking probability per pair and bandwidth,0,200.0Gbps,9,7, ,0.031746031746031744
Blocking probability per pair and bandwidth,0,200.0Gbps,13,4, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,14,5, ,0.35110294117647056
Blocking probability per pair and bandwidth,0,200.0Gbps,2,10, ,0.04174573055028463
Blocking probability per pair and bandwidth,0,200.0Gbps,7,11, ,0.08426966292134831
Blocking probability per pair and bandwidth,0,200.0Gbps,3,4, ,0.0019230769230769232
Blocking probability per pair and bandwidth,0,200.0Gbps,4,5, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,7,5, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,11,10, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,7,3, ,0.05904059040590406
Blocking probability per pair and bandwidth,0,200.0Gbps,3,12, ,0.06542056074766354
Blocking probability per pair and bandwidth,0,200.0Gbps,4,14, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,8,13, ,0.0074211502782931356
Blocking probability per pair and bandwidth,0,200.0Gbps,8,9, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,1,12, ,0.018115942028985508
Blocking probability per pair and bandwidth,0,200.0Gbps,9,13, ,0.0
Blocking probability per pair and bandwidth,0,200.0Gbps,5,9, ,0.06095238095238095
Blocking probability per pair and bandwidth,0,200.0Gbps,12,5, ,0.2777777777777778
Blocking probability per pair and bandwidth,0,200.0Gbps,4,7, ,0.0
